Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Afghanistan,AFG,62.966,63.377,63.763,64.13,64.486
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Albania,ALB,77.813,78.025,78.194,78.333,78.458
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Algeria,DZA,75.878,76.09,76.298,76.499,76.693
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,American Samoa,ASM,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Andorra,AND,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Angola,AGO,58.776,59.398,59.925,60.379,60.782
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Antigua and Barbuda,ATG,76.349,76.483,76.617,76.752,76.885
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Arab World,ARB,71.0642924201872,71.249571410287,71.4364968537757,71.6225263455783,71.8068251623605
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Argentina,ARG,75.913,76.068,76.221,76.372,76.52
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Armenia,ARM,74.273,74.467,74.64,74.797,74.945
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Aruba,ABW,75.583,75.725,75.868,76.01,76.152
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Australia,AUS,82.3,82.4,82.4487804878049,82.5,82.7487804878049
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Austria,AUT,81.490243902439,81.190243902439,81.6414634146342,81.6439024390244,81.6926829268293
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Azerbaijan,AZE,72.022,72.266,72.493,72.693,72.864
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Bahamas, The",BHS,72.847,73.088,73.329,73.554,73.752
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bahrain,BHR,76.624,76.762,76.899,77.032,77.163
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bangladesh,BGD,71.231,71.514,71.785,72.052,72.32
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Barbados,BRB,78.717,78.801,78.888,78.981,79.081
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belarus,BLR,72.9707317073171,73.6243902439025,73.8268292682927,74.1292682926829,74.1756097560976
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belgium,BEL,81.2878048780488,80.9926829268293,81.4390243902439,81.4926829268293,81.5951219512195
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belize,BLZ,73.782,74.034,74.219,74.365,74.496
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Benin,BEN,60.345,60.608,60.885,61.174,61.47
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bermuda,BMU,80.7973170731707,81.0121951219512,81.2270731707317,81.4419512195122,81.6517073170732
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bhutan,BTN,70.046,70.419,70.781,71.129,71.46
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bolivia,BOL,69.891,70.277,70.626,70.945,71.239
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bosnia and Herzegovina,BIH,76.723,76.865,76.998,77.128,77.262
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Botswana,BWA,66.265,67.338,68.178,68.812,69.275
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brazil,BRA,74.745,74.994,75.23,75.456,75.672
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,British Virgin Islands,VGB,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brunei Darussalam,BRN,75.193,75.318,75.45,75.585,75.722
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bulgaria,BGR,74.4658536585366,74.6146341463415,74.8121951219512,74.8146341463415,74.9634146341464
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burkina Faso,BFA,59.45,59.919,60.354,60.768,61.174
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burundi,BDI,59.665,60.123,60.528,60.898,61.247
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cabo Verde,CPV,71.886,72.117,72.347,72.57,72.782
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cambodia,KHM,68.273,68.637,68.977,69.289,69.57
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cameroon,CMR,57.083,57.583,58.063,58.511,58.921
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Canada,CAN,81.8,81.9,81.9,81.9487804878049,81.9487804878049
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Caribbean small states,CSS,73.1505846181052,73.273015980955,73.3959563927788,73.5174924941114,73.6371077650151
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cayman Islands,CYM,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Central African Republic,CAF,50.129,50.881,51.593,52.24,52.805
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Central Europe and the Baltics,CEB,76.6756236113045,76.5718777647788,76.9698114171911,76.9474653545225,76.97684517184
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chad,TCD,52.789,53.137,53.438,53.712,53.977
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Channel Islands,CHI,82.252,82.429,82.6,82.766,82.928
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chile,CHL,79.504,79.646,79.779,79.909,80.042
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,China,CHN,75.629,75.928,76.21,76.47,76.704
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Colombia,COL,76.322,76.531,76.732,76.925,77.109
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Comoros,COM,63.214,63.471,63.7,63.912,64.118
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Dem. Rep.",COD,58.828,59.254,59.655,60.026,60.368
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Rep.",COG,62.582,63.097,63.556,63.954,64.29
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Costa Rica,CRI,79.398,79.565,79.738,79.914,80.095
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cote d'Ivoire,CIV,55.508,56.065,56.567,57.017,57.422
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Croatia,HRV,77.4780487804878,77.2756097560976,78.0219512195122,77.8268292682927,78.0707317073171
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cuba,CUB,78.521,78.561,78.607,78.662,78.726
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Curacao,CUW,77.9756097560976,78.0756097560976,77.719512195122,78.0170731707317,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cyprus,CYP,80.178,80.35,80.513,80.672,80.828
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Czech Republic,CZE,78.8243902439024,78.5780487804878,79.0268292682927,78.9780487804878,79.0292682926829
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Denmark,DNK,80.7,80.7024390243902,80.8536585365854,81.1024390243903,80.9536585365854
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Djibouti,DJI,63.171,64.136,65.064,65.893,66.582
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Dominica,DMA,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Dominican Republic,DOM,73.003,73.241,73.471,73.689,73.892
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Early-demographic dividend,EAR,69.4609245541244,69.7485061534442,70.0112233946236,70.2542044815924,70.4831906825217
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,East Asia & Pacific,EAS,75.1251702917927,75.392556877146,75.6355408677985,75.8659539130049,76.0683364250093
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,East Asia & Pacific (excluding high income),EAP,74.2204720452971,74.4962276185303,74.7556141751153,74.9949516020132,75.2105121056207
